sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
0,3.7283971309661865,-0.20567789673805237,-0.7568026185035706,1.1701836585998535
1,4.295116901397705,-0.1792508363723755,-1.462323784828186,1.4093422889709473
2,3.0926127433776855,-0.1938115954399109,0.37084493041038513,0.9657823443412781
3,4.123294830322266,-0.20641256868839264,-0.8458313345909119,0.8002440929412842
4,4.147875785827637,-0.22945141792297363,0.83598393201828,0.39245355129241943
5,4.428143501281738,-0.04951084405183792,-2.8136987686157227,1.2529010772705078
6,2.816272020339966,-0.13139444589614868,-2.5805392265319824,0.831525981426239
7,3.826101064682007,-0.1136750653386116,-0.32485970854759216,0.12587261199951172
8,1.0553338527679443,-0.13081315159797668,0.43769320845603943,0.6106384992599487
9,2.7949929237365723,-0.13059431314468384,2.2985804080963135,1.1005282402038574
10,2.718334913253784,-0.24161598086357117,0.1701747477054596,0.5722572803497314
11,4.705713272094727,-0.06453148275613785,-0.9136999845504761,1.402266502380371
12,4.598559379577637,-0.0720943808555603,0.2503531277179718,0.41045841574668884
13,4.849804401397705,-0.15552660822868347,-0.4311661422252655,0.3129962086677551
14,1.94740629196167,-0.1184140220284462,0.7104297876358032,0.5023425817489624
15,2.9846386909484863,-0.22078198194503784,2.8440682888031006,1.1769503355026245
16,4.966434955596924,-0.1592458039522171,-1.1310625076293945,0.5809727907180786
17,4.500497817993164,-0.18439215421676636,0.00636979378759861,1.0195741653442383
18,3.169823169708252,-0.07997359335422516,-0.3836401104927063,1.216515302658081
19,4.598982810974121,-0.2170727550983429,1.330944538116455,0.10887563228607178
20,1.5483134984970093,-0.03591524064540863,-0.24426868557929993,0.7014384865760803
21,2.5307199954986572,-0.15739546716213226,-0.818853497505188,0.9109076261520386
22,4.413059234619141,-0.03500066697597504,2.44286847114563,0.460831880569458
23,3.5172293186187744,-0.1560693383216858,-0.42781686782836914,0.35736027359962463
24,3.626427173614502,-0.20035287737846375,-1.2751744985580444,1.0746880769729614
25,2.360027313232422,-0.1870790719985962,-1.8419215679168701,0.8895692229270935
26,1.2111320495605469,-0.29183417558670044,0.6468495726585388,0.7830154895782471
27,4.2085490226745605,-0.1128244400024414,2.594928741455078,1.1083345413208008
28,3.7782135009765625,-0.26005202531814575,-2.2010531425476074,1.1316686868667603
29,4.276490211486816,-0.284773588180542,0.5764678120613098,1.2362289428710938
30,3.8010761737823486,-0.13095049560070038,0.09924404323101044,0.6899610757827759
31,1.0052785873413086,-0.06090010702610016,0.11187850683927536,1.002307653427124
32,2.2625041007995605,-0.05379156768321991,0.25006240606307983,1.2886945009231567
33,3.583516836166382,-0.2354680895805359,-0.4742671847343445,0.7126133441925049
34,5.605105400085449,-0.15777461230754852,0.6081300973892212,1.1514408588409424
35,4.820573329925537,-0.06298085302114487,-2.5668141841888428,0.5215430855751038
36,1.3316338062286377,-0.13093577325344086,0.6532193422317505,0.37949469685554504
37,5.781953811645508,-0.14181356132030487,2.292780637741089,0.5794199705123901
38,3.9797277450561523,-0.20257359743118286,-2.490753412246704,0.5623416900634766
