# Fig.4 of https://arxiv.org/pdf/2503.14738 (without applying sample completeness)
# z                     nz
0.08550830928777936    0.000001083839650612565
0.08996300607621867    0.0000010955369744843864
0.09545415206644335    0.0000011073605415561911
0.09874156618383413    0.000001119311714305903
0.10148945883548022    0.0010551398445200965
0.10906516442583523    0.0011253355826007646
0.11572683016619419    0.0011873864116583041
0.12541477531962075    0.0011873864116583041
0.13307244508758687    0.0012262473689956196
0.1435978827527643    0.0011747083882399673
0.15430917198800576    0.0011873864116583041
0.16722534637034994    0.0011747083882399673
0.18354132956613645    0.0011873864116583041
0.19890432962959215    0.0011747083882399673
0.21646512149114905    0.0011497569953977356
0.23858102182374646    0.0011014328928082098
0.2607508705529869    0.0011014328928082098
0.2825626226884849    0.0010327281472617188
0.3049150749177512    0.001
0.31942985566805837    0.0009579701599703604
0.34036428578436917    0.0009683090391711531
0.3580819987157325    0.0009376223953405626
0.3864199346769133    0.0009376223953405626
0.4063306385662264    0.0005251455869842243
0.43848255633889177    0.0005195384754454255
0.465237399316101    0.0005139912324470615
0.5041892127512306    0.0005195384754454255
0.5440897988586183    0.0005195384754454255
0.5822232244428995    0.0005423326290888851
0.6229985695050937    0.0005365420071779316
0.6751255783233064    0.0005139912324470615
0.7072843061893672    0.0005085032187576654
0.7600422343002229    0.0005139912324470615
0.8064812821498408    0.0005541020330009492
0.8592253570584979    0.0004871309098187239
0.8924183659864432    0.0004015407295625623
0.9387344427834834    0.00033098896877152665
0.9708247801282386    0.00025581464757491273
0.991338176082455    0.00019560290092108515
1.0252267552624112    0.0001511775070615663
1.0468793320709973    0.00011436024004320588
1.0780845687607237    0.00008744297840072694
1.0915875701570927    0.00006686130134652753
1.1298165378540646    0.0000012461522201812345
1.229565362326352    0.0000012196833246679
1.3900609078047903    0.0000011937766417144358
1.5648705833798044    0.000001168420229645288
1.7616637724131625    0.0000011436024004320564
1.9832050522223554    0.000001119311714305903
